x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
80,90,906,996,79.3905,89.43634,0.6095,0.56366,,,,,,,,,,,,
90,90,1019.5,995.5,90.01512,89.388275,0.01512,0.611725,,,,,,,,,,,,
100,90,1135.111816,995.0508423,100.86766,89.34674,0.86766,0.65326,,,,,,,,,,,,
110,90,1241.542236,997.548645,111.13893,89.58295,1.13893,0.41705,,,,,,,,,,,,
120,90,1349.764282,999.4743652,121.94026,89.762634,1.94026,0.237366,,,,,,,,,,,,
130,90,1452.127075,1004.798279,132.36108,90.26511,2.36108,0.26511,,,,,,,,,,,,
140,90,1547.317017,1006.328491,142.19257,90.407104,2.19257,0.407104,,,,,,,,,,,,
150,90,1641.252686,1005.347656,152.19925,90.31482,2.19925,0.31482,,,,,,,,,,,,
160,90,1736.340942,1006.395508,162.89908,90.41501,2.89908,0.41501,,,,,,,,,,,,
170,90,1822.636353,1008.689392,173.10165,90.62781,3.10165,0.62781,,,,,,,,,,,,
180,90,1909.224365,1012.674316,182.22217,91.00369,2.22217,1.00369,,,,,,,,,,,,
0,100,120,1102,-1.0582628,99.379425,1.0582628,0.620575,,,,,,,,,,,,
10,100,209.7933655,1100.757813,7.679063,99.26547,2.320937,0.73453,,,,,,,,,,,,
20,100,300.6470947,1104.790771,18.054398,99.64438,1.945602,0.35562,,,,,,,,,,,,
30,100,394.4688721,1102.755249,28.343456,99.450745,1.656544,0.549255,,,,,,,,,,,,
40,100,486.8375549,1103.487549,37.933857,99.52124,2.066143,0.47876,,,,,,,,,,,,
50,100,585.746521,1107.718506,47.94575,99.917725,2.05425,0.082275,,,,,,,,,,,,
60,100,690.4100952,1108.145264,58.438305,99.9624,1.561695,0.0376,,,,,,,,,,,,
70,100,796.078186,1105.765503,68.85623,99.74014,1.14377,0.25986,,,,,,,,,,,,
80,100,906.1182251,1110.358765,79.401825,100.16751,0.598175,0.16751,,,,,,,,,,,,
90,100,1017.216492,1111.575317,89.80011,100.28241,0.19989,0.28241,,,,,,,,,,,,
100,100,1132.323486,1107.778564,100.60214,99.92621,0.60214,0.07379,,,,,,,,,,,,
110,100,1241.75061,1111.166626,111.16768,100.24487,1.16768,0.24487,,,,,,,,,,,,
120,100,1347.667114,1107.826172,121.728714,99.93176,1.728714,0.06824,,,,,,,,,,,,
130,100,1451.801147,1107.25293,132.34567,99.87344,2.34567,0.12656,,,,,,,,,,,,
140,100,1549.840332,1111.023193,142.45868,100.23105,2.45868,0.23105,,,,,,,,,,,,
150,100,1640.765015,1110.89624,152.1405,100.224365,2.1405,0.224365,,,,,,,,,,,,
160,100,1733.560181,1107.236938,162.5929,99.87668,2.5929,0.12332,,,,,,,,,,,,
170,100,1823.571289,1110.45166,173.24554,100.173676,3.24554,0.173676,,,,,,,,,,,,
180,100,1909.749268,1107.339111,182.29907,99.88306,2.29907,0.11694,,,,,,,,,,,,
0,110,119.8720474,1201.727783,-1.0673857,108.8681,1.0673857,1.1319,,,,,,,,,,,,
10,110,209.48172,1202.097656,7.644105,108.89554,2.355895,1.10446,,,,,,,,,,,,
20,110,298.9616394,1205.758545,17.863602,109.25253,2.136398,0.74747,,,,,,,,,,,,
