x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
170,40,1810.38562,524.5181885,170.5422526,42.25887752,0.542252571,2.258877524,170.6570976,42.13583964,0.657097649,2.135839641,,,,,,,,,,,
180,40,1896.5,533,179.8546255,43.16519984,0.145374516,3.165199845,179.8556767,43.01875402,0.144323312,3.018754016,,,,,,,,,,,
0,50,136,616,0.161707077,51.88470544,0.161707077,1.884705442,0.189344205,51.6342615,0.189344205,1.634261501,,,,,,,,,,,
10,50,226.5643768,612.3800049,9.825687399,51.50996343,0.174312601,1.509963434,9.576916142,51.2590205,0.423083858,1.259020502,,,,,,,,,,,
20,50,318.1638489,604.9492798,19.82452222,50.7391836,0.175477779,0.739183604,20.02566941,50.48863242,0.025669407,0.488632416,,,,,,,,,,,
30,50,408.7673035,599.5317383,29.65624239,50.17591176,0.343757611,0.17591176,29.85484731,49.92685812,0.145152694,0.07314188,,,,,,,,,,,
40,50,506,596,39.95279942,49.80810458,0.047200578,0.19189542,39.88252265,49.560588,0.117477351,0.439411999,,,,,,,,,,,
50,50,606.1160889,592.5532837,50.19522884,49.44869226,0.195228838,0.551307742,49.98896206,49.20310181,0.011037939,0.796898192,,,,,,,,,,,
60,50,707.7284546,585.4130859,60.23597103,48.70266809,0.235971026,1.29733191,60.14852425,48.46242931,0.14852425,1.537570686,,,,,,,,,,,
70,50,808.760376,582.2460327,69.95487043,48.37113598,0.045129575,1.628864019,70.06346366,48.13385474,0.063463656,1.866145261,,,,,,,,,,,
80,50,913.4324341,583.0403442,79.87210846,48.45432176,0.127891544,1.545678241,80.04633577,48.21626559,0.046335768,1.783734412,,,,,,,,,,,
90,50,1019.996338,579.7458496,89.93362281,48.10913801,0.066377189,1.890861993,89.98325609,47.87444476,0.016743909,2.12555524,,,,,,,,,,,
100,50,1126.519409,583.7791748,100.0456547,48.53167737,0.045654691,1.46832263,99.92733842,48.2929185,0.072661581,1.7070815,,,,,,,,,,,
110,50,1231.267822,584.2115479,110.0922478,48.57693571,0.092247776,1.423064292,109.9469266,48.337776,0.053073429,1.662224,,,,,,,,,,,
120,50,1337.520264,589.0505981,120.4259998,49.08296819,0.425999808,0.917031808,120.4236156,48.83977663,0.423615574,1.160223372,,,,,,,,,,,
130,50,1437.5,595.5,130.3413552,49.75599516,0.341355222,0.244004838,130.4772615,49.5087311,0.477261502,0.491268901,,,,,,,,,,,
140,50,1537.062134,600.3660278,140.50601,50.26272756,0.506010023,0.262727562,140.6031206,50.01337564,0.603120563,0.013375636,,,,,,,,,,,
150,50,1632.341064,609.043457,150.6273143,51.16412642,0.627314262,1.164126416,150.5400553,50.91312201,0.540055269,0.913122014,,,,,,,,,,,
160,50,1723.5,613.5,160.72032,51.62595704,0.720319991,1.625957036,160.5815354,51.37512166,0.58153542,1.375121655,,,,,,,,,,,
170,50,1812.790405,618.317627,170.8124389,52.12436946,0.81243895,2.124369457,170.9358429,51.87447722,0.935842882,1.874477218,,,,,,,,,,,
180,50,1901.621826,625.40979,180.3696842,52.85652633,0.369684175,2.856526326,180.3053083,52.60942991,0.305308301,2.609429907,,,,,,,,,,,
0,60,131.5397491,711.5161133,-0.302058746,61.60632088,0.302058746,1.606320882,-0.17850744,61.49910361,0.17850744,1.499103613,,,,,,,,,,,
10,60,220,707,9.113704337,61.15333633,0.886295663,1.153336327,8.830495483,61.0353609,1.169504517,1.035360899,,,,,,,,,,,
20,60,312.8147278,704.0003662,19.24004592,60.8521277,0.759954083,0.8521277,19.42595804,60.72712694,0.574041964,0.727126938,,,,,,,,,,,
30,60,406.8563232,696.7235107,29.45080453,60.1202946,0.549195467,0.120294604,29.65347763,59.97871087,0.346522367,0.021289129,,,,,,,,,,,
40,60,499.5446777,692.3006592,39.27953696,59.67469231,0.720463035,0.325307695,39.22625157,59.52339121,0.773748432,0.476608791,,,,,,,,,,,
50,60,598.0370483,690.8228149,49.38237059,59.52566784,0.617629415,0.474332165,49.1767868,59.37118226,0.823213199,0.62881774,,,,,,,,,,,
60,60,701.5,685,59.62933913,58.93781834,0.370660875,1.062181662,59.52982596,58.77114781,0.470174037,1.228852192,,,,,,,,,,,
70,60,807.7086182,680.2965698,69.8546463,58.46219149,0.145353701,1.537808512,69.96161315,58.28611242,0.038386846,1.713887577,,,,,,,,,,,
80,60,914.4737549,680.885376,79.97041653,58.52177306,0.029583467,1.47822694,80.14425062,58.34684874,0.144250625,1.653151257,,,,,,,,,,,
